Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"MS evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific NX"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific NX"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific NX"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific NX"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific NX"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific pTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific pTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"
ENSG00000110104	CCDC86	MGC2574	"Coiled-coil domain containing 86"	Q9H6F5	11	60842071-60851081	"Predicted intracellular proteins"	"Host-virus interaction"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	4	"parathyroid gland: 200.8"	"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041117, HPA041540"	Enhanced		Enhanced	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA041117: AB_10794984, HPA041540: AB_10794299"
ENSG00000015133	CCDC88C	"DAPLE, HkRP2, KIAA1509, SCA40"	"Coiled-coil domain containing 88C"	Q9P219	14	91271323-91417844	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Wnt signaling pathway"	"Guanine-nucleotide releasing factor"	"Disease mutation, Neurodegeneration, Spinocerebellar ataxia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 34.5"	"Cell line enhanced"	"Detected in many"		"SCLC-21H: 23.9;U-266/70: 21.0;U-266/84: 29.5"	"Low cancer specificity"	"Detected in all"			"Region enriched"	"Detected in many"	5	"basal ganglia: 18.7"	"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"							HPA005832	Approved		Approved	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoplasm, Nucleoli fibrillar center"		"HPA005832: AB_1079202"
ENSG00000241322	CDRT1	"FBXW10B, FBXW10P1, HREP, SM25H2"	"CMT1A duplicated region transcript 1"	O95170	17	15565483-15619512	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"		"Tissue enhanced"	"Detected in many"		"esophagus: 9.8;testis: 12.8"	"Cell line enhanced"	"Detected in some"		"CAPAN-2: 15.3;HaCaT: 28.1;HeLa: 9.5"	"Not detected"	"Not detected"							"Cell type enriched"	"Detected in single"	5	"T-reg: 2.1"	"Lineage enriched"	"Detected in single"	5	"T-cells: 2.1"									"HPA013332, HPA047457"			Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA013332: AB_1848471, HPA047457: "
ENSG00000163624	CDS1		"CDP-diacylglycerol synthase 1"	Q92903	4	84582979-84651338	"Enzymes, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Nucleotidyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 48.0"	"Cell line enhanced"	"Detected in many"		"CAPAN-2: 20.6;hTCEpi: 25.8;SK-BR-3: 28.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enriched"	"Detected in single"	5	"myeloid DC: 2.1"	"Lineage enriched"	"Detected in single"	5	"dendritic cells: 2.1"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036187, HPA064546"	Enhanced		Approved	"Nucleoplasm,Nuclear membrane"		Nucleoplasm	"Nuclear membrane"	"HPA036187: AB_10601797, HPA064546: "
ENSG00000153044	CENPH		"Centromere protein H"	Q9H3R5	5	69189548-69210357	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 31.8;testis: 37.3"	"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in some"			HPA036494	Approved		Supported	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA036494: AB_10673354"
ENSG00000188312	CENPP	"CENP-P, RP11-19J3.3"	"Centromere protein P"	Q6IPU0	9	92325484-92620533	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skin 1: 30.0"	"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"							"HPA021787, HPA058945"	Uncertain		Supported	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA021787: AB_1846524, HPA058945: "
ENSG00000139624	CERS5	"FLJ25304, LASS5, MGC45411, Trh4"	"Ceramide synthase 5"	Q8N5B7	12	50129306-50167533	"Enzymes, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism, Sphingolipid metabolism"	Transferase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA026589	Approved		Approved	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA026589: AB_1852727"
ENSG00000186710	CFAP73	"CCDC42B, MIA2"	"Cilia and flagella associated protein 73"	A6NFT4	12	113149858-113159276	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 27.2;epididymis: 17.8;fallopian tube: 35.5"	"Cell line enhanced"	"Detected in some"		"Daudi: 6.3;REH: 3.2;T-47d: 3.8;U-698: 12.7"	"Cancer enhanced"	"Detected in many"		"endometrial cancer: 5.7"	"Region enhanced"	"Detected in many"		"pons and medulla: 27.2"	"Cell type enhanced"	"Detected in some"		"naive B-cell: 1.0;naive CD4 T-cell: 1.3"	"Group enriched"	"Detected in many"	9	"B-cells: 1.0;T-cells: 1.3"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			HPA048539	Enhanced		Approved	"Nucleoplasm,Nucleoli fibrillar center,Vesicles"		"Nucleoli fibrillar center"	"Nucleoplasm, Vesicles"	"HPA048539: "
ENSG00000153922	CHD1		"Chromodomain helicase DNA binding protein 1"	O14646	5	98853985-98928957	"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding, Helicase, Hydrolase"	"Disease mutation, FDA approved drug targets, Mental retardation"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"lymphoid tissue: 70.1"	"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA022236	Approved		Approved	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoplasm, Nucleoli fibrillar center"		"HPA022236: "
ENSG00000171316	CHD7	"CRG, FLJ20357, FLJ20361, KIAA1416"	"Chromodomain helicase DNA binding protein 7"	Q9P2D1	8	60678778-60868028	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"rRNA processing, Transcription, Transcription regulation"	"Chromatin regulator, DNA-binding, Helicase, Hydrolase"	"Cancer-related genes, Disease mutation, Hypogonadotropic hypogonadism, Kallmann syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 47.1"	"Cell line enhanced"	"Detected in many"		"AF22: 25.8;SCLC-21H: 23.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Group enriched"	"Detected in many"	15	"B-cells: 12.2;granulocytes: 12.6;T-cells: 5.5"	"Low region specificity"	"Detected in many"			"Region enriched"	"Detected in all"	4	"cerebellum: 110.3"	HPA053075			Supported	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA053075: "
ENSG00000013441	CLK1		"CDC like kinase 1"	P49759	2	200853009-200864744	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Kinase, Serine/threonine-protein kinase, Transferase, Tyrosine-protein kinase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB033141, HPA062405"	Approved		Supported	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"CAB033141: AB_1121713, HPA062405: "
ENSG00000155052	CNTNAP5	"caspr5, FLJ31966"	"Contactin associated protein like 5"	Q8WYK1	2	124025287-124915287	"Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"brain: 22.4"	"Cell line enhanced"	"Detected in some"		"AF22: 3.2;HMC-1: 2.1;NTERA-2: 1.7;SCLC-21H: 1.3;SH-SY5Y: 7.2"	"Cancer enhanced"	"Detected in single"		"renal cancer: 0.6"	"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"			"Not detected"	"Not detected"							"Low region specificity"	"Detected in all"			"HPA069095, HPA069356"			Supported	"Nucleoplasm,Nucleoli fibrillar center,Vesicles"		"Nucleoli fibrillar center"	"Nucleoplasm, Vesicles"	"HPA069095: , HPA069356: "
ENSG00000121058	COIL	"CLN80, p80-coilin"	Coilin	P38432	17	56938187-56961054	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"testis: 58.8"	"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB017524, HPA027885, HPA068537, CAB069400"	Enhanced		Enhanced	"Nucleoplasm,Nucleoli,Nuclear bodies"		Nucleoplasm	"Nucleoli, Nuclear bodies"	"CAB017524: AB_1121780, CAB069400: , HPA027885: , HPA068537: "
ENSG00000108582	CPD	GP180	"Carboxypeptidase D"	O75976	17	30378905-30469989	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in all"		"HSkMC: 57.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"neutrophil: 19.3"	"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA052796, HPA055465"	Approved		Approved	"Nucleoplasm,Nuclear membrane,Nuclear speckles"		"Nucleoplasm, Nuclear speckles"	"Nuclear membrane"	"HPA052796: , HPA055465: "
ENSG00000214078	CPNE1	CPN1	"Copine 1"	Q99829	20	35626031-35664956	"Plasma proteins, Predicted intracellular proteins"	"Differentiation, Transcription, Transcription regulation"	Repressor		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA047259, HPA072634"	Approved		Supported	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"HPA047259: , HPA072634: "
ENSG00000095321	CRAT	CAT1	"Carnitine O-acetyltransferase"	P43155	9	129094810-129111189	"Enzymes, Predicted intracellular proteins, Transporters"	"Fatty acid metabolism, Lipid metabolism, Transport"	"Acyltransferase, Transferase"	Neurodegeneration	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 98.6;testis: 71.7"	"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA019230, HPA020260, HPA022815"	Enhanced		Approved	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"HPA019230: AB_1847212, HPA020260: AB_1847210, HPA022815: AB_1847209"
ENSG00000119878	CRIPT	HSPC139	"CXXC repeat containing interactor of PDZ3 domain"	Q9P021	2	46616416-46625742	"Disease related genes, Predicted intracellular proteins"			"Disease mutation, Dwarfism"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA046080	Approved		Approved	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoli fibrillar center"	Nucleoplasm	"HPA046080: "
ENSG00000103196	CRISPLD2	"DKFZP434B044, LCRISP2, LGL1"	"Cysteine rich secretory protein LCCL domain containing 2"	Q9H0B8	16	84819984-84920768	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in many"		"ASC diff: 14.9;BEWO: 23.2;HHSteC: 55.4;HSkMC: 23.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enriched"	"Detected in some"	5	"neutrophil: 36.0"	"Lineage enriched"	"Detected in many"	5	"granulocytes: 36.0"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in single"			"HPA030054, HPA030055"	Approved		Approved	Nucleoplasm,Nucleoli	"Secreted to blood"	"Nucleoplasm, Nucleoli"		"HPA030054: , HPA030055: AB_10611821"
ENSG00000141551	CSNK1D	"CKID, CKIdelta, HCKID"	"Casein kinase 1 delta"	P48730	17	82239023-82273731	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Biological rhythms, Wnt signaling pathway"	"Kinase, Serine/threonine-protein kinase, Transferase"	"Disease mutation"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			CAB015410	Approved		Approved	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoli fibrillar center"	Nucleoplasm	"CAB015410: AB_831049"
ENSG00000178662	CSRNP3	"FAM130A2, FLJ32093, PPP1R73, TAIP-2"	"Cysteine and serine rich nuclear protein 3"	Q8WYN3	2	165469647-165689407	"Predicted intracellular proteins, Transcription factors"	"Apoptosis, Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"		"Tissue enhanced"	"Detected in many"		"brain: 31.7;pituitary gland: 21.1"	"Cell line enhanced"	"Detected in some"		"AF22: 12.7;PC-3: 3.1;SCLC-21H: 9.3;SH-SY5Y: 7.6"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA017905	Supported		Uncertain	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA017905: AB_1857757"
ENSG00000268940	CT45A1	"CT45-1, CT45.1"	"Cancer/testis antigen family 45 member A1"	Q5HYN5	X	135713453-135723539	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"		"Tissue enriched"	"Detected in single"	17	"testis: 12.5"	"Group enriched"	"Detected in some"	7	"HMC-1: 68.4;Karpas-707: 31.7"	"Low cancer specificity"	"Detected in some"							"Not detected"	"Not detected"			"Not detected"	"Not detected"											"HPA044735, HPA044757, HPA046872, HPA046987"	Supported		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA044735: , HPA044757: , HPA046872: , HPA046987: "
ENSG00000269586	CT45A10		"Cancer/testis antigen family 45 member A10"	P0DMU9	X	135881063-135889086	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	21	"testis: 14.1"	"Cell line enhanced"	"Detected in some"		"AN3-CA: 32.5;K-562: 9.7;Karpas-707: 36.1;U-266/84: 30.3"	"Low cancer specificity"	"Detected in some"							"Not detected"	"Not detected"			"Not detected"	"Not detected"											"HPA044735, HPA044757, HPA046872, HPA046987"	Supported		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA044735: , HPA044757: , HPA046872: , HPA046987: "
ENSG00000271449	CT45A2	"CT45-2, CT45.2"	"Cancer/testis antigen family 45 member A2"	Q5DJT8	X	135811668-135820012	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"		"Tissue enriched"	"Detected in single"	42	"testis: 4.2"	"Cell line enriched"	"Detected in some"	4	"HMC-1: 32.0"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Not detected"	"Not detected"											"HPA044735, HPA044757, HPA046872, HPA046987"	Supported		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA044735: , HPA044757: , HPA046872: , HPA046987: "
ENSG00000269096	CT45A3	"CT45-3, CT45-4, CT45.3, CT45.4, CT45A4"	"Cancer/testis antigen family 45 member A3"	Q8NHU0	X	135759846-135768191	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		"Tissue enriched"	"Detected in some"	13	"testis: 15.6"	"Cell line enhanced"	"Detected in some"		"HMC-1: 29.2;T-47d: 17.1;U-266/84: 88.3"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Not detected"	"Not detected"											"HPA044735, HPA044757, HPA046872, HPA046987"	Supported		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA044735: , HPA044757: , HPA046872: , HPA046987: "
ENSG00000228836	CT45A5	"CT45-5, CT45.5"	"Cancer/testis antigen family 45 member A5"	P0DMU8	X	135777130-135785298	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"		"Tissue enriched"	"Detected in single"	14	"testis: 10.5"	"Cell line enhanced"	"Detected in some"		"HMC-1: 17.9;Karpas-707: 12.5;U-266/84: 64.7"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Not detected"	"Not detected"											"HPA044735, HPA044757, HPA046872, HPA046987"	Supported		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA044735: , HPA044757: , HPA046872: , HPA046987: "
ENSG00000278289	CT45A6	"CT45-6, CT45.6"	"Cancer/testis antigen family 45 member A6"	P0DMU7	X	135794706-135802656	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"		"Tissue enriched"	"Detected in single"	5	"testis: 2.9"	"Cell line enriched"	"Detected in some"	9	"U-266/84: 46.2"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Not detected"	"Not detected"											"HPA044735, HPA044757, HPA046872, HPA046987"	Supported		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA044735: , HPA044757: , HPA046872: , HPA046987: "
ENSG00000273696	CT45A7		"Cancer/testis antigen family 45 member A7"	P0DMV0	X	135829247-135837268	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"No human protein/transcript evidence"	"No human protein/transcript evidence"		"Tissue enriched"	"Detected in single"	5	"testis: 4.1"	"Cell line enhanced"	"Detected in some"		"HMC-1: 4.0;Karpas-707: 3.4;PC-3: 1.0;THP-1: 1.6"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Not detected"	"Not detected"											"HPA044735, HPA044757, HPA046872, HPA046987"	Supported		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA044735: , HPA044757: , HPA046872: , HPA046987: "
ENSG00000278085	CT45A8		"Cancer/testis antigen family 45 member A8"	P0DMV1	X	135846499-135854538	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"No human protein/transcript evidence"	"No human protein/transcript evidence"		"Tissue enriched"	"Detected in single"	16	"testis: 3.9"	"Group enriched"	"Detected in some"	5	"AN3-CA: 13.8;HMC-1: 29.4"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Not detected"	"Not detected"											"HPA044735, HPA044757, HPA046872, HPA046987"	Supported		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA044735: , HPA044757: , HPA046872: , HPA046987: "
ENSG00000270946	CT45A9		"Cancer/testis antigen family 45 member A9"	P0DMV2	X	135863776-135871812	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"No human protein/transcript evidence"	"No human protein/transcript evidence"		"Tissue enriched"	"Detected in single"	17	"testis: 4.0"	"Cell line enriched"	"Detected in some"	9	"HMC-1: 54.4"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Not detected"	"Not detected"											"HPA044735, HPA044757, HPA046872, HPA046987"	Supported		Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA044735: , HPA044757: , HPA046872: , HPA046987: "
ENSG00000055130	CUL1		"Cullin 1"	Q13616	7	148697914-148801036	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Host-virus interaction, Ubl conjugation pathway"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB002676, HPA064584"	Supported		Supported	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"CAB002676: , HPA064584: "
ENSG00000108669	CYTH1	"B2-1, cytohesin-1, D17S811E, PSCD1"	"Cytohesin 1"	Q15438	17	78674048-78782297	"Plasma proteins, Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell line enhanced"	"Detected in all"		"MOLT-4: 36.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA047498			Uncertain	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA047498: "
ENSG00000145041	DCAF1	"KIAA0800, MGC102804, VPRBP"	"DDB1 and CUL4 associated factor 1"	Q9Y4B6	3	51395867-51500002	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Host-virus interaction, Transcription, Transcription regulation, Ubl conjugation pathway"	"Chromatin regulator, Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036142, HPA052445, HPA053203"	Approved		Supported	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoplasm, Nucleoli fibrillar center"		"HPA036142: AB_10669666, HPA052445: , HPA053203: "
ENSG00000198924	DCLRE1A	"hSNM1, KIAA0086, PSO2, SNM1"	"DNA cross-link repair 1A"	Q6PJP8	10	113834725-113854383	"Predicted intracellular proteins"	"Cell cycle, Cell division, DNA damage, DNA repair, Mitosis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA036907	Approved		Supported	"Nucleoplasm,Nucleoli fibrillar center"		Nucleoplasm	"Nucleoli fibrillar center"	"HPA036907: AB_10673626"
